Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014
3,50011E+14;1;0;439255;439255;0;0;0;1;23;43;28;25;22;4;3
3,50011E+14;1;0;866389;866389;0;0;0;17;67;100;35;41;27;3;4
3,50011E+14;1;1;921529;917329;4200;0;0;1;31;56;41;40;34;10;2
3,50011E+14;1;0;1160677;1160677;0;0;1;13;56;80;38;43;42;14;1
3,50011E+14;1;0;1074174;1074174;0;0;1;18;66;98;45;34;21;6;2
3,50011E+14;1;0;921923;921923;0;1;6;4;71;96;58;31;23;2;10
3,50011E+14;1;0;422442;422442;0;0;0;21;72;63;18;8;2;4;2
3,50011E+14;1;0;716780;716780;0;1;2;18;81;100;44;31;12;0;0
3,50011E+14;1;1;410582;410082;500;0;5;22;47;88;26;6;6;0;4
3,50011E+14;1;1;424272;423762;510;0;2;30;91;94;13;7;1;2;4
3,50011E+14;1;0;889633;889633;0;0;0;21;67;120;47;42;17;2;2
3,50011E+14;1;1;1236435;1236435;0;1;3;11;50;73;29;29;33;12;3
3,50011E+14;1;0;325884;325884;0;0;2;13;87;56;14;8;1;0;2
3,50011E+14;1;1;633889;633449;440;0;5;20;102;132;31;20;3;0;2
3,50011E+14;1;0;292617;292617;0;2;10;33;82;55;9;2;1;1;5
3,50011E+14;1;0;215179;215179;0;5;8;56;80;37;3;1;0;0;4
3,50011E+14;1;0;283431;283431;0;4;11;47;91;55;6;3;0;0;5
3,50011E+14;1;0;781014;781014;0;2;2;16;48;69;28;28;23;2;3
3,50011E+14;1;1;592351;588551;3800;0;5;37;113;130;21;10;4;1;2
3,50011E+14;1;0;412653;412653;0;0;2;16;83;82;19;12;1;0;0
3,50011E+14;1;0;863290;863290;0;0;1;10;57;68;23;22;20;10;0
3,50011E+14;1;0;609739;609739;0;0;0;9;68;102;30;17;6;1;2
3,50011E+14;1;0;576896;576896;0;0;5;14;67;110;26;16;7;0;1
3,50011E+14;1;0;404358;404358;0;0;0;15;77;56;17;12;6;1;3
3,50011E+14;1;0;515663;515663;0;0;1;17;97;110;20;10;7;0;0
3,50011E+14;1;0;552621;552621;0;0;1;5;34;65;21;28;7;5;3
3,50011E+14;1;0;283242;283242;0;1;4;35;103;46;4;2;1;0;2
3,50011E+14;1;2;496804;495524;1280;0;5;46;161;105;12;4;1;0;5
3,50011E+14;1;0;421381;421381;0;1;15;73;148;65;8;1;0;1;5
3,50011E+14;1;0;560857;560857;0;0;9;30;110;128;26;13;3;0;4
3,50011E+14;1;0;525896;525896;0;2;11;44;148;108;22;5;0;0;5
3,50011E+14;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;1;0;403786;403786;0;3;5;57;134;85;5;1;0;0;1
3,50011E+14;1;0;486795;486795;0;0;0;8;57;65;23;26;8;3;4
3,50011E+14;1;0;239616;239616;0;0;9;46;85;33;3;2;1;0;9
3,50011E+14;1;2;544197;542387;1810;0;2;14;66;56;31;14;13;3;0
3,50011E+14;1;0;632043;632043;0;1;2;15;68;74;37;26;11;1;1
3,50011E+14;1;0;262131;262131;0;0;1;3;30;51;12;9;1;0;0
3,50011E+14;1;0;527226;527226;0;0;0;3;13;58;29;38;14;1;0
3,50011E+14;1;0;28020;28020;0;0;0;0;5;6;1;1;0;0;0
3,50011E+14;1;0;197161;197161;0;0;0;2;16;37;8;10;3;0;1
3,50011E+14;3;0;71325;71325;0;0;0;0;3;2;1;1;4;0;0
3,50011E+14;1;0;393071;393071;0;3;4;36;115;84;16;3;0;0;3
3,50011E+14;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;3;0;66085;66085;0;0;1;6;20;16;2;0;0;0;1
3,50011E+14;8;0;94126;94126;0;0;2;7;23;16;3;3;1;0;0
3,50011E+14;8;0;164856;164856;0;0;0;11;26;33;5;4;1;0;0
3,50011E+14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,50011E+14;8;0;134081;134081;0;1;2;5;35;24;10;1;0;0;0
3,50011E+14;8;0;77337;77337;0;0;2;9;15;13;3;0;1;0;1
3,50011E+14;8;0;142042;142042;0;0;0;7;35;25;7;2;1;0;1
3,50011E+14;8;0;61208;61208;0;1;1;6;15;16;0;1;0;0;0
3,50011E+14;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;8;0;32105;32105;0;0;1;7;15;4;0;0;0;0;0
3,50011E+14;8;1;41549;41039;510;0;4;7;10;8;2;0;0;0;0
3,50011E+14;8;0;108777;108777;0;0;1;12;15;12;1;0;1;2;1
3,50011E+14;8;0;62073;62073;0;0;1;8;17;7;1;4;1;0;0
3,50011E+14;8;0;54298;54298;0;0;0;6;19;14;0;2;0;0;1
3,50011E+14;1;0;502333;502333;0;0;0;3;30;63;28;14;19;3;1
3,50011E+14;1;0;432340;432340;0;0;2;9;51;63;24;14;7;4;2
3,50011E+14;1;0;61970;61970;0;0;0;1;2;9;0;6;2;0;0
3,50011E+14;1;0;273537;273537;0;1;2;18;35;60;7;10;4;0;2
3,50011E+14;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;1;0;7990;7990;0;0;0;1;0;3;1;0;0;0;0
3,50011E+14;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;1;0;9280;9280;0;0;0;1;3;3;0;0;0;0;0
3,50011E+14;1;0;304169;304169;0;0;6;13;86;61;7;7;1;0;6
3,50011E+14;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;2;0;14245;14245;0;0;0;0;1;4;0;1;0;0;0
3,50011E+14;1;0;257097;257097;0;0;2;14;65;56;8;3;3;0;0
3,50011E+14;1;0;311353;311353;0;1;10;41;98;69;6;2;0;0;3
3,50011E+14;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,50011E+14;1;0;226415;226415;0;1;6;13;47;49;8;3;0;0;0
3,50011E+14;1;0;124757;124757;0;0;0;0;2;6;4;10;2;0;0
3,50011E+14;1;0;17710;17710;0;0;0;1;0;7;3;0;0;0;0
3,50011E+14;2;0;17876;17876;0;0;0;1;1;4;0;1;0;0;0
3,5002E+14;1;0;424951;424951;0;2;5;17;95;101;15;5;2;1;3
3,5002E+14;1;0;340719;340719;0;4;3;37;83;75;10;3;2;1;16
3,5002E+14;1;0;526945;526945;0;0;5;22;119;112;22;9;0;0;4
3,5002E+14;1;0;525865;525865;0;1;7;34;94;118;23;5;2;3;3
3,5002E+14;3;0;31110;31110;0;0;0;0;8;3;2;2;1;0;2
3,5002E+14;8;0;45568;45568;0;0;1;6;9;5;0;1;0;1;1
3,5002E+14;8;0;69361;69361;0;0;2;9;18;14;1;1;1;0;4
3,5002E+14;8;0;126454;126454;0;0;0;4;21;10;4;3;1;1;1
3,5003E+14;1;0;540881;540881;0;0;1;6;28;30;25;31;16;7;2
3,5003E+14;1;1;575082;574282;800;0;2;5;23;39;19;30;19;3;2
3,5003E+14;1;0;443592;443592;0;0;1;16;55;64;23;14;7;1;1
3,5003E+14;1;0;540245;540245;0;1;4;9;51;58;24;15;8;5;1
3,5003E+14;1;0;485538;485538;0;1;0;14;60;56;25;18;6;2;4
3,5003E+14;1;0;459834;459834;0;0;3;21;93;80;24;9;6;0;3
3,5003E+14;1;0;768920;768920;0;0;7;29;99;118;34;19;9;4;7
3,5003E+14;1;0;502104;502104;0;1;6;26;88;108;18;14;4;1;0
3,5003E+14;1;0;741429;741429;0;1;4;12;35;81;38;21;16;6;4
3,5003E+14;1;0;670204;670204;0;1;3;16;53;71;35;19;18;4;10
3,5003E+14;1;0;408135;408135;0;0;7;19;58;54;15;21;6;0;0
3,5003E+14;1;0;342459;342459;0;0;8;27;58;57;24;6;1;1;4
3,5003E+14;1;0;318842;318842;0;1;3;36;102;59;11;4;2;1;3
3,5003E+14;1;0;253008;253008;0;1;6;23;63;53;10;2;0;0;1
3,5003E+14;1;0;262542;262542;0;0;5;29;82;45;8;3;0;0;3
3,5003E+14;1;1;278613;278369;244;2;8;34;74;55;8;4;1;0;4
3,5003E+14;1;1;213713;213563;150;2;15;39;78;37;4;2;0;0;12
3,5003E+14;1;0;418520;418520;0;2;3;31;92;106;11;7;3;0;2
3,5003E+14;1;1;285665;284378;1287;0;4;28;83;43;5;2;4;0;4
3,5003E+14;1;0;312933;312933;0;0;2;24;63;61;20;6;1;0;5
3,5003E+14;1;3;356090;355690;400;3;10;47;78;60;6;7;2;1;9
3,5003E+14;1;0;535220;535220;0;3;10;61;131;119;12;5;0;0;12
3,5003E+14;1;1;412499;412199;300;2;20;51;117;63;19;4;2;0;6
3,5003E+14;1;2;419863;418408;1455;3;15;67;125;85;7;0;1;0;3
3,5003E+14;1;0;253582;253582;0;2;6;58;80;39;6;2;1;0;10
3,5003E+14;1;0;393178;393178;0;5;7;35;78;67;14;5;2;1;4
3,5003E+14;1;1;496592;495792;800;0;9;55;123;89;26;4;0;0;2
3,5003E+14;1;0;302453;302453;0;1;4;31;77;64;7;1;0;1;3
3,5003E+14;1;0;266124;266124;0;1;13;44;89;39;9;3;0;0;4
3,5003E+14;1;0;349166;349166;0;2;24;79;123;45;3;5;0;0;6
3,5003E+14;1;0;324954;324954;0;0;2;20;37;35;16;13;9;2;8
3,5003E+14;1;0;303466;303466;0;0;2;13;41;66;17;7;4;0;0
3,5003E+14;1;0;318867;318867;0;0;5;41;90;66;9;0;0;0;2
3,5003E+14;1;2;210575;209555;1020;0;19;34;69;32;7;3;0;0;4
3,5003E+14;1;0;468292;468292;0;0;4;26;86;75;15;17;5;2;10
3,5003E+14;3;2;158118;157768;350;6;14;46;64;22;3;0;0;0;5
3,5003E+14;8;1;216414;215864;550;1;6;48;65;28;6;4;1;0;2
3,5003E+14;8;0;220377;220377;0;1;1;27;56;39;2;3;2;1;1
3,5003E+14;8;0;199816;199816;0;0;7;37;68;33;5;2;1;0;0
3,5003E+14;8;0;194152;194152;0;0;5;31;53;29;5;4;0;1;1
3,5003E+14;8;0;173104;173104;0;1;7;19;67;25;3;1;0;0;0
3,5003E+14;8;0;85685;85685;0;0;3;14;34;7;0;1;1;0;1
3,5003E+14;8;0;128824;128824;0;0;6;21;40;16;1;0;1;1;1
3,5003E+14;8;0;69540;69540;0;1;13;33;20;6;2;1;0;0;6
3,5003E+14;1;0;322735;322735;0;1;2;21;50;61;13;16;1;0;1
3,5003E+14;1;0;230030;230030;0;0;11;43;70;34;6;6;0;0;10
3,5003E+14;1;0;341281;341281;0;0;8;43;71;57;8;9;1;1;2
3,5003E+14;1;0;204153;204153;0;1;7;38;58;43;4;2;0;0;1
3,5003E+14;1;0;356037;356037;0;3;20;80;107;69;2;1;0;0;9
3,5003E+14;3;0;110038;110038;0;6;20;39;45;12;0;0;0;0;8
3,5003E+14;2;2;132456;131946;510;7;32;90;27;12;0;0;0;0;10
3,5004E+14;1;0;236502;236502;0;0;0;11;19;38;10;13;4;2;2
3,5004E+14;1;1;478581;477081;1500;0;3;27;48;56;12;10;6;3;5
3,5004E+14;1;1;388954;386224;2730;0;0;7;13;55;18;13;9;5;4
3,5004E+14;1;0;480290;480290;0;0;1;10;35;42;14;23;15;5;2
3,5004E+14;1;0;375728;375728;0;0;1;12;65;63;19;7;5;6;1
3,5004E+14;1;2;435078;433038;2040;0;2;31;58;67;20;15;5;3;0
3,5004E+14;1;0;690710;690710;0;0;3;23;60;91;21;22;6;2;4
3,5004E+14;1;3;374785;371755;3030;0;1;17;71;50;14;16;7;2;1
3,5004E+14;1;0;479581;479581;0;0;1;6;36;40;26;22;14;4;0
3,5004E+14;1;0;264111;264111;0;1;4;41;63;53;15;2;0;0;1
3,5004E+14;3;0;126033;126033;0;0;11;29;40;27;3;0;0;0;3
3,5004E+14;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,5004E+14;8;0;64830;64830;0;0;5;10;15;9;1;0;1;0;0
3,5004E+14;8;0;32639;32639;0;0;3;5;11;3;1;1;0;0;0
3,5004E+14;8;0;113146;113146;0;0;3;9;17;17;2;2;0;2;0
3,5004E+14;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,5004E+14;1;1;363547;363037;510;1;12;46;95;54;5;3;1;2;9
3,5004E+14;3;0;420515;420515;0;0;4;40;119;72;19;2;0;0;5
3,5004E+14;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,5004E+14;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X
3,5004E+14;8;1;147152;146802;350;0;7;24;49;21;10;1;1;0;2
3,5005E+14;1;0;630185;630185;0;0;1;6;44;73;49;27;17;8;2
3,5005E+14;1;0;696011;696011;0;0;1;5;49;81;39;32;20;6;1
3,5005E+14;2;0;314717;314717;0;2;11;36;99;45;10;0;4;0;2
3,5005E+14;1;0;739479;739479;0;0;3;19;73;82;26;14;12;3;29
3,5005E+14;1;0;372477;372477;0;0;3;32;96;77;19;6;3;0;1
3,5005E+14;1;0;392641;392641;0;0;1;16;102;79;27;10;0;0;6
3,5005E+14;1;0;403520;403520;0;0;0;8;38;63;27;15;9;2;3
3,5005E+14;1;0;321174;321174;0;0;1;11;38;64;20;10;7;0;3
